λ	Теор.P0	Эксп.P0	Теор.Pn	Эксп.Pn	Теор.Q	Эксп.Q	Теор.A	Эксп.A	Теор.K	Эксп.K
2,00	0,3681	0,3568	0,0031	0,0120	0,9969	0,9880	1,9939	1,9760	0,9969	0,9880
4,00	0,1376	0,1220	0,0367	0,0160	0,9633	0,9840	3,8532	3,9360	1,9266	1,9680
6,00	0,0543	0,0469	0,1101	0,0600	0,8899	0,9400	5,3397	5,6400	2,6698	2,8200
8,00	0,0233	0,0129	0,1991	0,1040	0,8009	0,8960	6,4075	7,1680	3,2037	3,5840
10,00	0,0109	0,0312	0,2849	0,2200	0,7151	0,7800	7,1513	7,8000	3,5757	3,9000
12,00	0,0056	0,0154	0,3604	0,2680	0,6396	0,7320	7,6752	8,7840	3,8376	4,3920
14,00	0,0030	0,0091	0,4247	0,3080	0,5753	0,6920	8,0539	9,6880	4,0270	4,8440
16,00	0,0018	0,0031	0,4790	0,4000	0,5210	0,6000	8,3359	9,6000	4,1679	4,8000
18,00	0,0011	0,0108	0,5249	0,4080	0,4751	0,5920	8,5517	10,6560	4,2758	5,3280
20,00	0,0007	0,0068	0,5640	0,4720	0,4360	0,5280	8,7210	10,5600	4,3605	5,2800
22,00	0,0004	0,0056	0,5974	0,4720	0,4026	0,5280	8,8567	11,6160	4,4283	5,8080
